Question|Choice1|Choice2|Choice3|Choice4|Answer|Type
Which of the following is NOT a National Fall Leadership Conference Location (NFLC)?|Washington D.C.|Birmingham, AL|Denver, CO|Los Angeles, CA|4|3
Which of the following is NOT part of FBLA's mission statement?|Academic competitions|Business opportunities|Educational Programs|Community service|2|3
How many regions are there in FBLA?|5|6|4|9|1|3 
How many states does FBLA cover?|50|43|38|47|4|3
Approximately how many countries does FBLA cover?|5|3|7|1|3|3
Approximately how many members are there in FBLA?|300,000|196,900|123,456|210,010|2|3
Approximately how many chapters are there in FBLA?|5200|4000|3200|9000|1|3
What does the PBL in FBLA-PBL stand for?|Phi Beta Lambda|Rho Sigma Zeta|Pi Beta Lambda|Phi Beta Iota|1|3
National celebrations include each of the following EXCEPT:|FBLA-PBL Week|American Enterprise Day|March of Dimes Day|FBLA-PBL Community Service Day|3|3
FBLA-PBL week is the second week in:|January|February|March|April|2|3
Which word is NOT a part of the FBLA emblem?|Education|Service|Progress|Leadership|4|3
Which one of the following is NOT one of the administrative regions in the United States?|Eastern|Mountain-Plains|Western-Central|Southern|3|3
Proposed amendments to the bylaws shall be submitted in writing no later than:|April 1|June 10|November 1|March 1|1|3
When was FBLA-Middle Level formed?|1994|1937|1945|1986|1|4
Who was the founder of FBLA?|Conrad N. Hilton|Edward D. Miller|Jean Buckley|Hamden L. Forkner|4|4
When was FBLA founded?|1945|1937|1997|1926|2|4
Who was FBLA's first sponsor in 1940?|Conrad N. Hilton Foundation|The Education Trust|National Business Eduation Association|United Business Education Association|3|4
Where was the first chapter in FBLA formed?|West Virginia|Iowa|New York|Tenessee|4|4
When was the first chapter in FBLA formed?|1942|1995|1978|1949|1|4
When was FBLA-PBL (college level) formed?|1954|1958|1948|1962|2|4
Where was FBLA-PBL (college level) formed?|Iowa|Kentucky|Tenessee|West Virginia|1|4
When did FBLA membership reach 200,000?|1983|1987|1986|1954|2|4
Who is the current FBLA CEO and president?|Conrad N. Hilton|Edward D. Miller|Jean Buckley|Hamden L. Forkner|3|4
When did FBLA-PBL become 501(c)(3)?|1995|1954|1982|1969|4|4
Which state became the first FBLA state chapter?|Iowa|Tenessee|Washington|Virginia|1|4
Where was the 2018 FBLA NLC?|Denver, Colorado|Baltimore, Maryland|Indianapolis, Indiana|Omaha, Nebraska|2|4
Where did the second FBLA chapter start|Iowa|Nebraska|Tenessee|West Virginia|4|4
When was the FBLA bylaws last amended?|2018|2000|2016|1994|3|4
What is FBLA national president Eu Ro Wang's favorite food?|Pizza|Ramen|Sushi|Ice cream|2|5
Who is the FBLA National Secretary?|Keerti Soudappan|Galadriel Coury|Garret Koch|Eli Amyx|1|5
What state is FBLA national parliamentarian, Michael Zhao, from?|Washington|Arizona|Wyoming|California|4|5
Who is the FBLA national treasurer?|Madelyn Remington|Ty Richard|Garret Koch|Galadriel Coury|4|5
What activity does Trentyn Tennant, FBLA western region VP, NOT participate in?|City counsilor for his city La Pine|Speech and debate|Sports|Tobacco prevention committee|2|5
Who is FBLA Southern Region VP?|Ty Rickard|Keerti Soudappan|Galadriel Coury|Garret Koch|1|5
Who is FBLA North Central Region VP?|Keerti Soudappan|Galadriel Coury|Garret Koch|Eli Amyx|4|5
Who is FBLA Mountain Plains Region VP?|Madelyn Remington|Ty Richard|Garret Koch|Galadriel Coury|1|5
Who is FBLA Eastern Region VP?|Ty Rickard!|Keerti Soudappan|Galadriel Coury|Garret Koch|4|5
How many National Officers are there in FBLA?|9|10|5|8|1|5
Where are the FBLA national officers elected?|State Leadership Conference|National Leadership Conference|National Fall Leadership Conference|Officer Conference|2|5
Who are the national officers elected by?|Peers|Teachers|Administrators|Sponsers|1|5
How is the FBLA parliamentarian appointed?|Board of directors|Teachers|Exam|Peers|3|5
What do the vice presidents represent?|Regions|Nation|States|Districts|1|5
Where does the president serve?|Board of teachers|Board of directors|Administrators|National Leadership Board|2|5
